epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.6857921265675084,0.5303430079155673,0.3776223776223776,0.659633787365647,0.7117117117117117,0.4838709677419355
2,0.6655595775959046,0.6015831134564644,0.4626334519572954,0.660259861666877,0.6936936936936937,0.5
3,0.6499599713763335,0.6385224274406333,0.5324232081911263,0.6508922410440875,0.7117117117117117,0.5
4,0.6346445997346359,0.6437994722955145,0.532871972318339,0.6418337505142968,0.7207207207207207,0.4918032786885246
5,0.6292837414703771,0.662269129287599,0.5761589403973509,0.6298048378111006,0.7207207207207207,0.5079365079365079
6,0.6166433141539782,0.662269129287599,0.5870967741935483,0.6279977603001637,0.7297297297297297,0.5454545454545454
7,0.6005710866646276,0.6385224274406333,0.5594855305466238,0.617392919622026,0.7297297297297297,0.53125
8,0.5976995473486767,0.6068601583113457,0.5209003215434084,0.6095741724108791,0.7387387387387387,0.5396825396825397
9,0.5892882070314915,0.6807387862796834,0.6230529595015576,0.6070852789792929,0.7477477477477478,0.6
10,0.587723390565384,0.7150395778364116,0.6538461538461539,0.6027926952989252,0.7477477477477478,0.5882352941176471
11,0.5892410435588504,0.6569920844327177,0.5859872611464968,0.5962949899939803,0.7477477477477478,0.5882352941176471
12,0.5768419519892468,0.6543535620052771,0.5919003115264797,0.593208761365564,0.7477477477477478,0.5757575757575758
13,0.5737999205853505,0.6886543535620053,0.6217948717948718,0.5890120525617857,0.7747747747747747,0.6153846153846154
14,0.563446971231526,0.6411609498680739,0.5723270440251572,0.5911184710425299,0.7657657657657657,0.6285714285714286
15,0.5574210506315911,0.6781002638522428,0.6257668711656442,0.5847972115954837,0.7657657657657657,0.6176470588235294
16,0.5688603260900855,0.683377308707124,0.625,0.5834802544868745,0.7657657657657657,0.6176470588235294
17,0.5586205667430304,0.6860158311345647,0.631578947368421,0.5850090293196945,0.7567567567567568,0.6197183098591549
18,0.5517174373515992,0.7467018469656992,0.7018633540372671,0.5743924057161486,0.7657657657657657,0.59375
19,0.5460042115251748,0.6939313984168866,0.639751552795031,0.5608541068730054,0.7927927927927928,0.6666666666666666
20,0.5390327607421573,0.7757255936675461,0.7416413373860182,0.5493396316562686,0.7927927927927928,0.6666666666666666
