epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.41319492199804664,0.45118733509234826,0.5071090047393365,0.32215042989533227,0.3963963963963964,0.5109489051094891
2,0.35222722271501544,0.5277044854881267,0.5846867749419954,0.29639737469118993,0.42342342342342343,0.5223880597014925
3,0.3071123736868748,0.5672823218997362,0.616822429906542,0.26536278735409985,0.4954954954954955,0.5692307692307692
4,0.2863540699739884,0.6015831134564644,0.6308068459657702,0.22315481546762828,0.5585585585585585,0.608
5,0.21469058835569346,0.7150395778364116,0.7202072538860104,0.17794726050651824,0.6666666666666666,0.672566371681416
6,0.19364443315207802,0.7361477572559367,0.7206703910614525,0.16304388387246174,0.6936936936936937,0.6964285714285714
7,0.14301628304896066,0.7572559366754618,0.7540106951871658,0.12148998301845414,0.8018018018018018,0.78
8,0.11944377884308077,0.8258575197889182,0.8176795580110497,0.10928891813969827,0.7927927927927928,0.7676767676767676
9,0.10114511643784578,0.8522427440633246,0.8444444444444444,0.10356547381426837,0.8108108108108109,0.7878787878787878
10,0.0838756051435477,0.8680738786279684,0.8563218390804598,0.08685703448078654,0.8918918918918919,0.8666666666666667
11,0.06994811583084293,0.8918205804749341,0.8783382789317508,0.07865197688072652,0.9009009009009009,0.8735632183908046
12,0.06917621528036834,0.8970976253298153,0.8869565217391304,0.07652042712177243,0.8918918918918919,0.8536585365853658
13,0.053458728790676376,0.9076517150395779,0.8979591836734694,0.08048751466983073,0.8918918918918919,0.8604651162790697
14,0.05214562418435683,0.9366754617414248,0.9294117647058824,0.07435482297394727,0.8828828828828829,0.8433734939759037
15,0.0495836184578788,0.9313984168865436,0.9239766081871345,0.06899302768277692,0.9009009009009009,0.8641975308641975
16,0.060082185497423904,0.9023746701846965,0.8914956011730205,0.06897936707681364,0.8828828828828829,0.8433734939759037
17,0.04753428062615734,0.9102902374670184,0.8982035928143712,0.08246299423076012,0.8738738738738738,0.8444444444444444
18,0.05939647062905231,0.899736147757256,0.8908045977011494,0.06819403614546801,0.8918918918918919,0.8536585365853658
19,0.05469660327270981,0.9155672823218998,0.9080459770114943,0.06954509368887893,0.9009009009009009,0.8641975308641975
20,0.04822706293540768,0.9234828496042217,0.913946587537092,0.0710627919918782,0.8828828828828829,0.8433734939759037
